database_identifier,glycine,<small>L</small>-leucine,taurine,<small>L</small>-histidine,<small>L</small>-cystine,creatinine,<small>L</small>-tryptophan,<small>L</small>-threonine,<small>L</small>-alanine,carnitine,<small>L</small>-isoleucine,<small>L</small>-proline,<small>L</small>-lysine,<small>L</small>-glutamine,<em>O</em>-octanoyl-<small>L</small>-carnitine,citrulline,ornithine,4-hydroxyproline,kynurenine,<em>O</em>-isovalerylcarnitine,group_type
METAB01_Smpl_51,0.9077382799541308,1.530815229317572,1.0137081808459771,-0.4540787144042852,-0.4978453200516859,0.4529117983311157,-0.4083046380841146,-0.3805364691448984,1.1764253857530154,1.4682110245342554,-0.3612157286456173,-0.8770538875671412,0.1040007586785206,-0.3340320757280073,2.063749083801416,-1.7764731077839533,0.0610431281761997,-0.7933607120442928,3.184005243491344,1.5480802545092467,Case
METAB01_Smpl_37,-0.2965732419097328,0.0767950458636917,-0.9575909665901408,-1.2938158034357856,0.4242431155794136,-2.263220098107045,-1.7213129833972107,0.0050356026991802,0.4056907713351229,-1.9109967390735865,-1.1413905460565117,-1.539360634377032,-1.7001173967732213,-0.8448645078499811,-0.6003104507522795,-2.0808193477531547,-0.5977169768398781,-0.6519530859731936,-0.4644504925879979,-1.0694853137330802,Case
METAB01_Smpl_36,0.4625203806212533,0.471204455913611,-0.0571149018190288,-0.3948776695090653,0.4895217227587246,-1.9156820853564236,-0.4137386663998265,0.4630329998143052,1.976502484819146,-1.2224605460334064,-0.8270587705889871,0.3926166701225107,-0.7135651490656439,-0.4754441031700993,-0.4189318563913551,-1.6589293123018996,-0.9141449522800478,-0.1405587282378704,-0.9661080646339828,-0.9983578126238004,Case
METAB01_Smpl_07,-0.8520908514360862,0.2551225663303976,0.2673558067106802,-0.8472482668737831,-0.6135327188155656,-0.6121629613759004,-1.0780438839705084,-1.081869850362252,0.5017079035639087,-0.5184195666367717,-0.7594953442267929,0.5800627430082106,-1.0562763423298942,-1.4955370885494923,-0.1591173368191602,-0.0681272122169155,-0.3347691956961978,-0.8164011245657614,0.1411732668482779,-0.7352907271785168,Case
METAB01_Smpl_11,-0.7347330712871379,-0.0927562453467778,-0.111372521633608,-0.5266376150735033,-0.238912844308718,-1.4482566027567996,-1.608421532572025,-0.5542721236320702,0.191780169929122,-1.1444877828955513,-1.5253342279623494,-1.0299602886985055,-0.5990562406575983,-1.214026431576324,-0.6656979827981676,-0.653187183406219,0.0816503010468687,-2.457682691028213,-0.4101759936504207,-0.991751831619358,Case
METAB01_Smpl_13,0.117043607520517,0.8289507711209209,0.2356597698429413,-1.099314117572782,-3.332522938550975,-1.5098226648044997,-2.398721088838568,-0.7014206357762858,0.7792713079260624,-1.1164092998670812,-0.5681867836606037,-1.0785929125482592,-1.0860763782417155,-3.781637684469481,-0.4531685881499855,-1.783963281311982,0.1242895566943527,-2.8691069197841994,-0.695716696313016,-0.4545457022500696,Case
METAB01_Smpl_24,-2.002936728196572,0.2430065992325426,-0.4954422358487636,-0.9329578626023144,-1.269099483442891,-1.3024340706437942,-1.7273437676818342,-1.4246819754232265,0.0118709391311193,-1.6991242551882069,-0.7513169409342766,-2.046597899622597,-2.1071447207145506,-2.058880791934114,-0.3449147517988732,-2.163573844387792,-1.7629009588777174,-2.361651719756651,-0.7854476051857111,-1.0420644752830266,Case
METAB01_Smpl_23,-0.6117539907805684,-0.0846174925043827,0.0414338878859424,-1.5096951633649698,-1.1202786816367674,-1.171705416293399,-0.7491990245170808,0.6136680207515696,1.5111628526803556,-0.7137658531052016,-0.942784700921908,-0.959675511359208,0.1016550209820252,-1.87060268853284,0.0787277334479344,-1.0013698399404596,-0.7770799482380623,0.8471658520666897,-0.8387478909356434,-0.6286361543557051,Case
METAB01_Smpl_27,-1.9971418353364467,-0.245447121690758,-1.0172029765414698,-1.7072050321771843,-0.9074479432855148,-1.3694991850490394,-0.9871875515319664,-1.9861955416760677,-0.0607869954359724,-1.4297419508568394,-1.507428487796567,-1.740218694967257,-1.610730709450334,-1.852229882520355,-0.3991747853496833,-1.3602146157324015,-1.421906227250036,-1.9299924410992373,0.2440088742505718,-0.8730292095561617,Case
METAB01_Smpl_28,-1.9157538955939128,0.0941668069716552,-1.7692204120842026,-1.0911340286269358,-0.8825961829931119,-1.8293878256048175,-0.6701162930020832,-0.7845031014429393,1.361093116875864,-1.529763608355294,-0.7986263363806313,-0.7520948365415564,-1.526269565164873,-1.3944284149658197,0.1644857029778258,-1.3931584148642828,-0.7168889606935781,-1.2042205984679322,0.5358415523265616,-1.1710181749137536,Case
METAB01_Smpl_55,-0.1989909326950354,0.8640293049405088,1.7057631433902274,-0.2642982849002526,-2.1974780016004645,-0.6796171478008773,-0.3929137499045983,-0.7187485172126834,0.127804551823465,-1.0878108546650318,-0.0668996710396155,-0.6158422961462707,-0.234249095437332,0.6713373550254929,1.2248311987342768,-0.8185696966946967,-1.1851074681727714,-0.4580088503019987,-0.9350186572004344,-1.0702373628001105,Case
METAB01_Smpl_32,-1.637654029321959,0.0985422514973709,-0.7929355978816519,-1.903705320019851,-1.980325740956856,-2.11109808225151,-2.685077018380828,-2.061178341318215,-0.4537500945227302,-2.020417266492689,-0.8898158014341312,-1.1401001548375382,-1.623020977227532,-1.850664614431711,-0.2447209222111231,-2.1730396192182813,-1.5071824743694715,-0.7818306415981439,-0.5413725368398256,-1.029562249922243,Case
METAB01_Smpl_52,-0.1348497858170231,0.6042845111581898,1.8893402066386489,-0.4135588527980647,1.3004643095380009,-1.4589424623257303,0.6479530075879572,1.1222489577490116,1.7127683565955725,-0.1970698756832571,-1.1174964149389195,0.7040863555806074,0.1964919956490639,-0.8793326532077099,1.0369160677125195,-0.3061794040125708,-0.0236322337198447,0.9260577618662518,-0.4881691704891392,-0.8324570842083373,Case
METAB01_Smpl_53,-0.7927891260638136,1.7094634973002467,1.7954178526557265,-1.2681679289133856,0.2990265291664436,-1.7448359100455733,-1.457140378902376,-0.128773902277019,0.6377922718456895,-0.5245671803830587,-1.4126255816641042,-0.6074047106583865,-0.7162953515087888,-0.6270446600146522,1.9382998808328065,-0.9398098129104426,-0.7011699644078123,-0.4894752948123497,0.3626210799509653,-0.4086614896401082,Case
METAB01_Smpl_54,-1.0201129445323822,0.6542823743796515,0.2003463245579528,-1.5448597322229802,-2.035898285741579,-0.2231298709080079,-0.7811848662693398,-2.467742658114116,-0.1366843943217451,0.5429195845235824,-1.2110406519970156,-2.3356759645493423,-1.9691129914401369,-1.223440554096075,1.3352483724105724,-1.3718315354458996,-0.9334283828337115,-0.7724165898210399,2.582609661465332,0.9872499565916484,Case
METAB01_Smpl_33,-0.8979765071343196,0.0693113883923239,-1.391258953333295,-1.3186235352068534,-0.8199482535671032,-0.2844309428673687,-2.4288048720916287,0.6254720606102948,1.3106505308709886,0.0372222264970219,-0.7730073808435619,-0.2884840118500963,-0.2776095189035785,-0.8002964741139612,-0.1208130203428558,-0.525860967330814,-0.1611259045888138,1.192495425125689,-0.3480398991977462,0.2226964954035455,Case
METAB01_Smpl_57,-0.5069796852708618,0.3236845029843238,1.0527876694972331,-2.173332079536616,-0.4646747288794157,-0.8196091317333632,-1.4056978651859242,-2.2566393807043177,0.1847355418957231,-1.7661564886602277,-1.802140316079824,-1.4016559000728064,-1.527376488554965,-1.2174477584071004,1.1004453381733446,-0.9804169235252204,-0.2357089717353608,-0.7610405796018732,1.622573522000823,-0.2548383799446732,Case
METAB01_Smpl_56,-0.1738264786626361,0.1472702085380007,1.818950383550788,-1.37626926929988,-2.4838639255966948,-1.0974008212302728,-0.5975748062955123,-0.1718150196045337,-0.0297561134600265,-0.7279972344418149,-1.493031072742229,-1.080636228536711,-0.429317658850303,-0.3722507015722885,1.201209001811406,-1.780623304497434,-0.8557157326377416,-0.8309294546858849,-0.8724644216340242,-0.259555954642027,Case
